chunk,n_sampled,median,mean,gc_pct,n_pct,pct_<200,pct_200-500,pct_500-1500,pct_1500+
001,100000,978,1270.1,46.2,0.458,3.5,20.8,42.9,32.8
002,100000,224,369.6,54.63,0.107,43.6,37.4,16.0,3.0
003,100000,1155,1409.0,40.66,0.214,0.1,5.3,59.1,35.5
004,100000,151,226.1,52.14,0.027,85.5,10.9,1.6,2.0
005,100000,189,424.7,50.09,0.21,51.2,25.5,17.4,5.9
006,100000,2389,2541.6,46.53,0.015,0.0,0.4,11.8,87.8
007,100000,160,321.1,57.33,0.119,58.5,25.9,13.7,2.0
008,100000,151,231.0,54.64,0.006,64.1,30.2,5.1,0.6
009,100000,2193,2264.5,48.25,0.007,0.0,0.6,13.4,86.0
010,100000,255,354.1,61.43,0.034,44.7,35.9,18.2,1.2
011,100000,151,412.2,50.42,0.275,65.8,12.3,15.5,6.3
012,100000,617,758.2,41.5,0.054,10.2,15.8,65.1,8.9
013,100000,151,229.6,53.74,0.047,62.9,32.4,3.8,0.8
014,100000,151,247.0,58.62,0.061,61.7,31.7,5.7,0.9
015,100000,617,760.3,42.9,0.053,10.4,17.5,62.9,9.2
016,100000,151,263.6,57.01,0.031,62.7,30.4,5.2,1.7
017,100000,151,400.0,50.39,0.265,68.7,10.3,14.8,6.2
018,100000,604,737.0,42.67,0.055,14.6,16.0,60.4,9.0
019,100000,246,357.6,55.19,0.082,42.2,38.5,17.0,2.3
020,100000,151,228.6,53.83,0.067,62.7,32.9,3.7,0.8
