run_id,stage,kind,timestamp,elapsed_s,epoch,step,tokens,padded_tokens,ce_nats,bits_per_token,balance,total_loss,lr,masked_accuracy,tok_per_s,padded_per_s,mfu,pad_frac,token_budget,n_oom,peak_gib,note
20260923T092752Z,stage1_mlm,event,2026-09-23T09:27:52+00:00,0.1,,7500,188601237,207328512,,,,,,,,,,,,,,resumed
20260923T092752Z,stage1_mlm,step,2026-09-23T09:33:40+00:00,348.5,,7600,191070926,210205952,1.286249,1.855665,0.16052,1.446769,0.00059011735473768,0.388371,7087.1,8257.2,0.013433,0.09103,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:34:53+00:00,421.6,,7700,193570846,213083456,1.284943,1.853782,0.160479,1.445423,0.0005898286849052007,0.387733,34200.2,39365.7,0.064043,0.091573,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:36:26+00:00,514.1,,7800,196069007,215960960,1.285202,1.854155,0.160483,1.445685,0.00058953515371017,0.38788,26989.5,31087.9,0.050576,0.092109,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:37:43+00:00,591.8,,7900,198563483,218837824,1.283564,1.851791,0.160605,1.444168,0.0005892390695593916,0.38959,32131.6,37057.1,0.060287,0.092646,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:39:04+00:00,672.7,,8000,201073171,221711488,1.285939,1.855218,0.160468,1.446407,0.0005889364576779472,0.38782,31017.0,35515.3,0.057779,0.093086,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:40:47+00:00,775.5,,8100,203545926,224588032,1.285146,1.854074,0.160508,1.445654,0.0005886342058420179,0.387749,24048.5,27975.5,0.045512,0.093692,28672,0,40.04,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:41:58+00:00,846.3,,8200,206103259,227464640,1.282722,1.850576,0.160467,1.443189,0.0005883171646705758,0.389761,36117.4,40626.6,0.066094,0.093911,28672,0,40.04,
20260923T092752Z,stage1_mlm,event,2026-09-23T09:42:46+00:00,894.0,,8260,207583452,,,,,,,,,,,,23552,1,,OOM #1: token budget -> 23552
20260923T092752Z,stage1_mlm,step,2026-09-23T09:43:08+00:00,916.6,,8300,208432881,230136960,1.27788,1.843591,0.160471,1.438351,0.0005880248465370132,0.392623,33124.6,37997.4,0.061817,0.094309,23552,1,78.41,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:44:05+00:00,973.7,,8400,210551982,232508096,1.266415,1.827051,0.160637,1.427052,0.0005877561873644294,0.400783,38145.7,42682.6,0.069439,0.094432,23552,1,78.41,
20260923T092752Z,stage1_mlm,step,2026-09-23T09:45:03+00:00,1031.2,,8500,212691643,234880384,1.261706,1.820258,0.160586,1.422292,0.0005874812717589972,0.404788,36248.7,40189.7,0.065383,0.094468,23552,1,78.41,
